dataset,full_channel_mean_min,full_channel_mean_median,full_channel_mean_max,full_channel_std_min,full_channel_std_median,full_channel_std_max,train_channel_mean_min,train_channel_mean_median,train_channel_mean_max,train_channel_std_min,train_channel_std_median,train_channel_std_max,validation_channel_mean_min,validation_channel_mean_median,validation_channel_mean_max,validation_channel_std_min,validation_channel_std_median,validation_channel_std_max,test_channel_mean_min,test_channel_mean_median,test_channel_mean_max,test_channel_std_min,test_channel_std_median,test_channel_std_max,full_near_zero_unit_fraction,train_near_zero_unit_fraction,value_min,value_max,maximum_decimal_places,diagnostic_only
ETTh1,-0.414492870750503,0.07027788379242074,0.2777658209815854,0.9335486077688978,0.9771203012152891,1.2370062694998039,-0.04089335900272662,-0.022535819159114873,0.20407135394970521,0.9277690625835346,1.0553359399531044,1.221561746926703,-1.1010497219707673,0.17820000875526237,0.24655120774634523,0.47871457447024685,0.8109421699369401,1.2994852172139224,-1.0251177835655867,0.22769577111559142,0.598415034303547,0.37551893069202885,0.90267124712046,1.5551673402367379,0.0,0.2857142857142857,-5.466370414654689,5.584866837635108,16,True
ETTh2,-0.9934465553639477,-0.4156910132594787,0.03395013232831556,0.7106355382474493,1.0261728926398828,1.4463411694164097,-0.2542837855969243,-0.031439758727535926,0.19904957321908145,0.9127227903789769,0.9530571271484557,1.1236978153713244,-2.7703707465204914,-0.640681260500331,0.05473022075067794,0.1274913409035231,0.5993420565655865,0.8876100865757574,-2.495149968856451,-0.9719564228286,0.039767238004578716,0.09418157193947695,0.6151702750325603,0.9918422909396108,0.14285714285714285,0.14285714285714285,-6.747916636540863,6.350576328985281,16,True
ETTm1,-0.4147273413299411,0.07290698422407878,0.2673444193899582,0.9336882773297042,0.9768539667538304,1.2373776150688491,-0.04229787116942562,-0.024181593724030146,0.1965716403014065,0.9277958180513363,1.055621306167644,1.2095590339921676,-1.101735395781401,0.16219692469527225,0.2487566144231005,0.4785891502722252,0.8059272998790608,1.3024025669323485,-1.0253831682059011,0.23396679888847033,0.5848102513503022,0.37578592216350387,0.9010017959488542,1.5529023325739988,0.0,0.2857142857142857,-5.703331222766001,5.471410183827292,16,True
ETTm2,-0.9922747860358991,-0.41497956416669285,0.0331873987467347,0.7105327020654197,1.026397688636281,1.4443898032400588,-0.25425257005502033,-0.03162387764653779,0.1991036719443677,0.9126507030922607,0.9535869742015852,1.1237787721068644,-2.765979790419001,-0.6412216764934017,0.053417165510182975,0.12656207492414773,0.5949759223177228,0.8878364668668633,-2.493730382848187,-0.9676872456758023,0.03820316467913083,0.09394083317114343,0.6203156074431736,0.9905916741207534,0.14285714285714285,0.14285714285714285,-9.038671158445345,6.368206415321878,16,True
Electricity,-0.6208787123162915,-0.024927745552840323,0.4781175952939377,0.8427329885767358,0.9862495813156502,1.4082663794290784,-0.1528769523531034,0.028732973042249407,0.31088103785037474,0.693434131957889,1.0032448388342836,1.0757340619673346,-1.8694370525822797,-0.18650821606907034,0.669889846493599,0.0,0.9088809725397025,1.8336987976599675,-2.0620146445614935,-0.01792460724319013,2.007012633863321,0.0,0.9506789092114728,1.864209889973474,0.5389408099688473,0.6105919003115264,-13.40556556208147,28.22286759193196,16,True
Traffic,-0.24597147531505872,0.015610512678461965,1.2022908912396133,0.8589304536192985,1.013792952165842,6.425550073708747,-0.17405739357492167,-0.00959224147997729,0.14480922219331036,0.6776279626092194,0.9956364929322596,1.0702196610532904,-0.8352030391529962,0.05853202715292135,1.4690846931250616,0.35600541758262444,1.006447100601942,7.378799109049056,-0.830668708582672,0.04982950573452282,4.453096855823762,0.31453183991574435,1.0597785240527429,11.611692508399575,0.6531322505800464,0.8921113689095128,-2.6131164467267585,39.3055603154865,16,True
PEMS08,9.311267921147007,237.69702060931968,461.315300179212,7.207917559386579,101.02025630984828,215.98273631675337,9.6220479790908,239.3467749463278,461.665826565854,7.214536392302761,100.65161992715986,214.37084830916044,8.905628675441044,235.2271072528706,460.00056006720735,7.293180237672184,103.58926363429308,215.14986538558523,8.784714445688712,232.47760358342686,461.57838745800706,7.049843449866018,99.50089070687046,221.55319145469434,0.0,0.0,0.0,1147.0,1,True
Solar,-0.0702207536275425,-0.048010525738607084,-0.027556357323796417,0.9460380594180612,0.9620134276917236,0.9849210396384358,-7.657957113490349e-16,6.243310447621997e-17,8.701467823189757e-16,0.9999999999999934,1.0000000000000002,1.0000000000000064,-0.08243050287442373,-0.03188362560600545,-0.013029126926214316,0.8992422075685247,0.9461167351347441,0.9706871915581058,-0.2879296960259244,-0.20613124962568424,-0.1208502729930543,0.7553473901629681,0.8435493344504632,0.9508786465089647,0.708029197080292,1.0,-0.8024935358188274,3.249361308880966,16,True
Wind,5.368327409446705,20.281169888850055,1016.2919893986401,2.690874689604073,10.288821891678923,92.13487587190396,5.294969694894388,15.028178611786453,1013.4455021744308,2.5874227506637806,10.01120291868395,88.77323101348512,0.9149666153055972,30.33805290190036,1025.1505906522846,2.584790364064449,6.2029967251518165,103.65830137744575,5.608382126348217,31.245745249101198,1015.9722650231142,2.8542437433639223,7.538856792762593,86.27185475796037,0.0,0.0,-16.4,1038.0,3,True
Weather,0.011773189615910177,21.515205518445484,1210.8828548656277,0.12328802710088556,7.7905456746350685,569.951353690365,0.010231837302716927,21.46844450770152,1212.5264901793264,0.11599204468673346,7.576551288773104,657.8683949341477,0.024860043647404722,27.147032925325007,1185.322213682511,0.1861426371645266,7.126581453728369,482.24568626075643,0.0033111954459202945,16.024182163187827,1231.5106328273216,0.02719393991352899,4.987679193527341,181.45466909679072,0.0,0.0,-9999.0,2498.94,2,True
